title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree,RIndex,No. of Positions,regional_language
Social Work Operations,HappiMynd,Work From Home,Immediately,6,1000,Yes,Remote,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",06-12-25,MCom,0.2,21,Telugu
Virtual Volunteering,HappiMynd,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",04-12-25,BBA,0.2,15,Kannada
Marketing,Prosperio Technologies,Mumbai,Immediately,6,2000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",12-11-25,BA,1.3,9,Marathi
TorchBearer Program Administration,HappiMynd,Work From Home,Immediately,6,2000,Yes,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",08-10-25,MBA,1,1,Bengali
Business Development (People Partnerships),HappiMynd,Work From Home,Immediately,6,1000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",14-09-25,BSc,1.1,18,Bengali
Team Administration,HappiMynd,Work From Home,Immediately,6,2000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",17-11-25,MBA,1,28,Telugu
Social & Digital Volunteering,HappiMynd,Work From Home,Immediately,6,1000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",18-10-25,BCom,1,17,Malayalam
Marketing,HappiMynd,Work From Home,Immediately,6,1000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",29-09-25,BBA,0.8,5,Malayalam
Psychology (Growth),HappiMynd,Work From Home,Immediately,6,5000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",10-11-25,BCom,0,16,Tamil
Graphic Design,Simit Bhagat Studios,Work From Home,Immediately,6,5000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",18-10-25,BCom,1.3,20,Marathi
HR/Talent Acquisition,DR & PS TECH INDUSTRIES INDIA PRIVATE LIMITED,Pune,Immediately,6,5000,No,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",11-11-25,MBA,0.8,20,Marathi
Subject Matter Expert (SME),Loyalty Square,Gurgaon,Immediately,6,8000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",28-09-25,MBA,0.3,12,Hindi
Office Mangement,SSVMD,Delhi,Immediately,6,13000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",03-10-25,MBA,0.2,20,Hindi
Java Development,Epicminds Information Technology,Bangalore,Immediately,6,10000,Yes,Remote,Urban,Software Development,"Java, OOP, Data Structures, Spring, Hibernate",06-12-25,MSc,1.1,14,Kannada
Digital Marketing & Business Development,Two Cents Consulting,Work From Home,Immediately,6,10000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",04-12-25,BCA,0.2,4,Telugu
Human Resources (HR),Conserve Solution,Chennai,Immediately,6,3000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",15-10-25,MCom,1,6,Tamil
Fashion Consultant,Rent An Attire,Pune,Immediately,6,10000,No,Remote,Urban,Finance,"Consulting, Problem Solving, Communication, Analysis",22-09-25,MBA,1.1,16,Marathi
Business Strategy,Ayka Control Systems,Mumbai,Immediately,6,2000,Yes,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",29-09-25,MBA,1.1,24,Marathi
Photography,Shreedhar Lifestyle  OPC Private Limited,Work From Home,Immediately,6,1000,Yes,Remote,Rural,Media & Entertainment,"Photography, Lightroom, Photoshop, Editing",09-11-25,BSc,1.3,12,Punjabi
Digital Marketing,SEO Training Course,Work From Home,Immediately,6,3000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",12-09-25,MBA,1.1,7,Bengali
Quality Assurance (Software Usability And Data),Skolarli Edulabs Pvt. Ltd.,Work From Home,Immediately,6,8000,Yes,Hybrid,Rural,Data Science,"Communication, MS Excel, Research",04-10-25,BTech,0.5,24,Malayalam
Motion Graphics,Brands Jar,Pune,Immediately,6,10000,No,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",06-10-25,BBA,0,6,Marathi
Content Writing,Packin Club,Delhi,Immediately,6,5000,No,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",24-11-25,MTech,1.3,22,Hindi
Human Resources (HR),Sprite Genix,Work From Home,Immediately,6,5000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",28-11-25,MCom,0.5,9,Tamil
SEO And Social Media Marketing,Travarsa Private Limited,Kolkata,Immediately,1 Month,8000,Yes,Onsite,Rural,Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization, Digital Marketing, SEO/SEM",27-09-25,MA,1.3,15,Bengali
WordPress Development,WebWorthies,Work From Home,Immediately,1 Month,5000,No,Remote,Rural,Web Development,"PR Strategy, Media Relations, Communication, Writing",14-10-25,BSc,1.3,9,Kannada
Human Resources (HR),PRO HOME TUTORS,Work From Home,Immediately,1 Month,3000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",30-11-25,BBA,1,11,Telugu
Human Resources (HR),0to1 Solutions,Work From Home,Immediately,1 Month,1000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",04-11-25,BCom,0.2,10,Tamil
Podcast Communications Management,FitCru,Mumbai,Immediately,1 Month,8000,Yes,Onsite,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",18-11-25,MBA,1.1,17,Marathi
Full Stack Development,Skillsweb,Erode,Immediately,1 Month,4000,Yes,Remote,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",07-12-25,BCA,0.5,16,Hindi
Engineering Design,Conserve Solution,Tiruchipalli,Immediately,1 Month,7500,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",13-09-25,BBA,0.5,8,Hindi
Human Resources (HR),Karvaan,Delhi,Immediately,1 Month,10000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",06-12-25,MBA,1.3,18,Hindi
Delegate Registration And Coordination,Brand Torque,Work From Home,Immediately,1 Month,4000,No,Remote,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",29-11-25,MCom,0.2,4,Tamil
Content Writing,Ayushi,Work From Home,Immediately,1 Month,1000,Yes,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",25-09-25,MSc,0,2,Kannada
Graphic Design & Video Editing,Confluence India,Work From Home,Immediately,1 Month,1200,Yes,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Video Editing, Videography",04-11-25,MCom,0,16,Gujarati
Digital Marketing,Raman Velusamy,Work From Home,Immediately,1 Month,1000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",25-10-25,BA,0,16,Punjabi
Business Development (Sales),Zinema Studios,Hyderabad,Immediately,1 Month,8000,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",28-10-25,BCA,0,13,Telugu
Digital Marketing,Trip Tailor,Work From Home,Immediately,1 Month,6000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",10-09-25,MA,0,5,Bengali
Office Assistant,Enlight,Pune,Immediately,1 Month,10000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",01-12-25,MBA,1.1,4,Marathi
Digital Marketing,Taggbox,Jaipur,Immediately,3,10000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",09-11-25,BA,1.3,26,Hindi
Business Development (Sales),UFaber Edutech,Work From Home,Immediately,1 Month,15000,Yes,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",02-10-25,MCA,1.3,22,Tamil
Business Development (Sales),SKOG,Delhi,Immediately,1 Month,15000,No,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",04-10-25,MSc,0.8,12,Hindi
Food Technology & Operations,Padma Food Products,Bangalore,Immediately,1 Month,8000,Yes,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",24-10-25,MCom,0,2,Kannada
Social Media Marketing,DigiPrima Technologies,Work From Home,Immediately,1 Month,4000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",15-10-25,BBA,0.2,2,Hindi
E-Commerce Sales,Radhe Kishan,Work From Home,Immediately,1 Month,1000,No,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication, E-commerce Management, Product Listing",30-10-25,MBA,1,10,Kannada
Social Media Marketing,Global Knowledge Works,Work From Home,Immediately,1 Month,1000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",11-09-25,BA,0,24,Telugu
Market Research,BYCSS (Ayurvedic FMCG Product),Lucknow,Immediately,1 Month,4000,Yes,Hybrid,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",17-09-25,MBA,0.3,11,Hindi
Compliance / CS,Green Portfolio Private Limited,Gurgaon,Immediately,1 Month,10000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",14-10-25,BBA,1.1,21,Hindi
Motion Graphics Design And Video Editing,Digi Daftar,Pune,Immediately,1 Month,2000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Video Editing, Videography",15-11-25,BCom,1,13,Marathi
Digital Marketing,Art Etc,Delhi,Immediately,1 Month,5000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",18-10-25,BBA,0,27,Hindi
Video Making/Editing,Yenveez Private Limited,Bangalore,Immediately,1 Month,10000,Yes,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",17-10-25,BA,0.3,6,Kannada
Anchoring,GreyCampus,Work From Home,Immediately,1 Month,15000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",15-11-25,BBA,0.5,18,Kannada
Database Building/Management,ARK Exim,Nashik,Immediately,1 Month,4000,No,Hybrid,Rural,Data Science,"SQL, Databases, Data Modeling, ETL, UI Design, UX Research",10-09-25,MSc,1,17,Hindi
Social Media Marketing,Your Desk,Gurgaon,Immediately,1 Month,10000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",06-12-25,BBA,1.1,29,Hindi
Social Media Marketing,Toothfully Yours,Pune,Immediately,1 Month,5000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",21-10-25,BA,0.2,27,Marathi
Event Management,Good Cause,Delhi,Immediately,1 Month,10000,Yes,Remote,Rural,Operations & Support,"Event Planning, Coordination, Communication, PR",06-12-25,MCom,0.5,7,Hindi
Social Media Marketing,Samvarddh Associates Private Limited,Work From Home,Immediately,1 Month,2000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",14-11-25,BA,0.2,23,Malayalam
Search Engine Optimization (SEO),RJ Maison Luxe,Gurgaon,Immediately,1 Month,10000,No,Remote,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",02-11-25,MBA,0.2,13,Hindi
Social Media Marketing,Above The Fold,Work From Home,Immediately,1 Month,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",27-09-25,BBA,1.3,20,Marathi
Marketing,DGate Integrated Services Private Limited,Bangalore,Immediately,1 Month,10000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",06-12-25,BA,1.3,3,Kannada
Ecommerce Listing Support,CLAP - Creative Learning Arts & Performance,Work From Home,Immediately,1 Month,10000,No,Onsite,Urban,Marketing,"E-commerce Management, Product Listing, SEO, Digital Marketing",19-10-25,MA,0,17,Tamil
Sales Consultant,Novel Nuggets,Work From Home,Immediately,1 Month,1000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication, Consulting, Problem Solving",08-10-25,MCom,0.5,25,Telugu
Video Editing,Mindwize,Noida,Immediately,1 Month,5000,No,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",29-10-25,MBA,1.1,10,Hindi
Program Management (Torch Bearer),HappiMynd,Work From Home,Immediately,1 Month,2000,No,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",04-10-25,BCom,1.3,12,Bengali
HR,My Digital Agency,Pune,Immediately,1 Month,7000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",15-10-25,MBA,0.2,21,Marathi
Sales,Dapper Drape,Work From Home,Immediately,1 Month,1500,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",26-11-25,MCom,1,29,Gujarati
Online Teaching,Ace Coders,Work From Home,Immediately,1 Month,5000,No,Hybrid,Rural,Design,"Teaching, Lesson Planning, Communication, Mentoring",19-10-25,MBA,1,3,Tamil
Social Wellbeing Research,HappiMynd,Work From Home,Immediately,1 Month,1000,Yes,Remote,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",20-09-25,BBA,0.2,10,Gujarati
B2C Sales,HappiMynd,Work From Home,Immediately,1 Month,1000,No,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",29-11-25,MBA,0.5,19,Hindi
Facebook Marketing,Cyber Pathshala India,Work From Home,Immediately,1 Month,3000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",10-10-25,BBA,0.8,28,Malayalam
React - Python Development,NGS India,Navi Mumbai,Immediately,1 Month,5000,Yes,Onsite,Rural,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning, HTML",29-09-25,MTech,0.5,5,Hindi
Content Creation,Cyboard - The Online School,Gurgaon,Immediately,1 Month,15000,No,Hybrid,Urban,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy",03-10-25,MSc,0.3,25,Hindi
Accounting & Bookkeeping,FinThink Academy,Jammu,Immediately,1 Month,6000,No,Onsite,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",10-09-25,MBA,0.3,4,Hindi
Onboarding,Intervue,Work From Home,Immediately,1 Month,8000,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",21-11-25,BCom,0,1,Hindi
Academic Counseling,VSVK Pro Education Private Limited,Work From Home,Immediately,1 Month,2500,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",05-10-25,BCom,0,18,Kannada
Instagram Reels Creation,Jorim Technology Solutions Private Limited,Chennai,Immediately,1 Month,10000,No,Onsite,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",02-12-25,BA,0.8,18,Tamil
Human Resources (HR),HR Footprints,Nizampet,Immediately,1 Month,8000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",02-11-25,BBA,0.8,6,Hindi
Social Media Management,Kitchen Spurs,Mumbai,Immediately,1 Month,12000,No,Onsite,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",17-11-25,MBA,1.3,6,Marathi
Accounts & Finance,Saraswati Constructions,Work From Home,Immediately,1 Month,1000,Yes,Remote,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",29-10-25,BBA,1,13,Gujarati
Web Designing,Megha Mam (Freelancer IT Services),Indore,Immediately,1 Month,5000,No,Remote,Rural,Web Development,"Communication, MS Excel, Research",24-10-25,MBA,1.3,13,Hindi
Graphic Design,Think Dynamik Media,Work From Home,Immediately,1 Month,2000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",12-11-25,MBA,0,25,Hindi
SEO (Off Page),CaptureATrip India Private Limited,Work From Home,Immediately,1 Month,4500,No,Hybrid,Urban,Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",02-12-25,BA,1.1,3,Hindi
Digital Marketing,Jazp,Bangalore,Immediately,1 Month,8000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",28-09-25,MA,0.2,1,Kannada
E-commerce Operations,Zenmach Technologies Private Limited,Hyderabad,Immediately,1 Month,5000,No,Remote,Rural,Marketing,"E-commerce Management, Product Listing, SEO, Digital Marketing",18-11-25,MA,1,5,Telugu
Human Resources (HR),SuperTails,Bangalore,Immediately,1 Month,15000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",18-10-25,MBA,0.2,5,Kannada
Digital Marketing,INTEGRATED EDUSYSTEMS PRIVATE LIMITED,Delhi,Immediately,1 Month,3000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",01-11-25,BBA,0.5,5,Hindi
Talent Acquisition - Sourcing,Zillancer,Navi Mumbai,Immediately,1 Month,15000,No,Onsite,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",28-10-25,BA,0,21,Hindi
Marketing,BAI Infosolutions Private Limited,Gurgaon,Immediately,1 Month,15000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",19-11-25,BA,1.3,21,Hindi
Interior Design,ModScale,Bangalore,Immediately,1 Month,8000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",07-12-25,MBA,1.1,4,Kannada
HR Recruitment,Kale Logistics Solutions,Thane,Immediately,1 Month,10000,No,Hybrid,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",01-12-25,MA,1,27,Hindi
Social Media Marketing,Brandshark,Bangalore,Immediately,1 Month,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",17-09-25,MBA,0.5,7,Kannada
Android App Development,Eximap Nisarg Private Limited,Work From Home,Immediately,1 Month,5000,Yes,Onsite,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",07-10-25,MSc,0.5,14,Malayalam
Social Media Marketing,GrowthAide,Work From Home,Immediately,1 Month,5000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",18-09-25,BA,0.2,29,Malayalam
Content Editing,TechWhoop,Work From Home,Immediately,1 Month,3000,Yes,Onsite,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",13-10-25,MTech,0.2,28,Punjabi
UI/UX Design,Business Toys,Bangalore,Immediately,1 Month,10000,No,Onsite,Rural,Design & Creative,"UI Design, UX Research, Figma, Prototyping",26-10-25,MBA,1.3,8,Kannada
Lead Generation,SKIMA,Mumbai,Immediately,1 Month,20000,No,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",18-10-25,MBA,0.8,10,Marathi
Embedded Software/Hardware DevelopeMENT,Mag9 Energies Private Limited,Mumbai,Immediately,1 Month,5000,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",10-09-25,MSc,0,24,Marathi
Web Development,Samruddhi Industries,Navi Mumbai,Immediately,1 Month,6000,Yes,Hybrid,Urban,Web Development,"HTML, CSS, JavaScript, React",04-11-25,BTech,0.3,17,Hindi
Business Development,HyperVerge,Bangalore,Immediately,1 Month,25000,No,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",25-11-25,BTech,0.2,12,Kannada
Motion Graphics,Your Marketing Mascot,Work From Home,Immediately,1 Month,2000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",30-11-25,BCom,0,11,Punjabi
Graphic Design,Nuage Health Devices Private Limited,Delhi,Immediately,1 Month,10000,Yes,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",06-12-25,BCom,1.3,17,Hindi
Human Resources (HR),Cocentrus,Delhi,Immediately,1 Month,5000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",01-12-25,BBA,1,26,Hindi
Graphic Design,ProTeam Softwares India Private Limited,Chennai,Immediately,1 Month,10000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",02-10-25,BCom,1.3,12,Tamil
Business Development (Sales),Reyan Consultancy Services,Work From Home,Immediately,1 Month,15000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",20-10-25,MTech,1.3,25,Telugu
Social Media Marketing,Vermi Organics Private Limited,Work From Home,Immediately,1 Month,5000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",11-10-25,MBA,0.8,15,Telugu
Figma Design,FynTune Solution Private Limited,Thane,Immediately,6,8000,No,Onsite,Rural,Design,"UI Design, UX Research, Figma, Prototyping",27-11-25,BBA,1,2,Hindi
Stock Market Research,ADSMIT MEDIA,Work From Home,Immediately,6,4500,No,Onsite,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",02-10-25,MBA,0,2,Hindi
Legal Research,Independent Thought,Greater Noida,Immediately,6,Unpaid,Yes,Remote,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking, Legal Research, Compliance",29-10-25,BCom,0.8,27,Hindi
Chartered Financial Analytics (Level-1),Boston Institute Of Analytics Global Education Private Limited,Mumbai,Immediately,6,15000,Yes,Onsite,Rural,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",15-11-25,BSc,0.5,7,Marathi
AI Research & Engineering,Elementals.ai,Bangalore,Immediately,6,15000,No,Remote,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Research, Report Writing",15-09-25,MSc,0.8,11,Kannada
Human Resources (HR),Masin Projects Private Limited,Gurgaon,Immediately,6,5000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",04-11-25,BBA,0,11,Hindi
Travel Consultant,Travelling Folks,Srinagar,Not specified,6,6000,Yes,Onsite,Rural,Data Analyst,"Consulting, Problem Solving, Communication, Analysis",15-09-25,BBA,1,2,Hindi
Business Development,StockUp,Hyderabad,Immediately,6,2000,Yes,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",18-09-25,MCA,0.3,20,Telugu
Video Making/Editing,LIV Worldwide,Delhi,Immediately,6,5000,Yes,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",27-11-25,BA,0,7,Hindi
Industrial Automation And Electrical And Electronics Tech Support Engineering,Eaasy Tech,Nagpur,Not specified,6,8000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",18-10-25,BBA,0.8,3,Marathi
Content & Copy Writing,Prizalo Enterprises,Work From Home,Immediately,6,2000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",19-10-25,PhD,1.1,19,Marathi
International Business Development,FinBridge,Delhi,Immediately,6,10000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication, MS Excel, Research",13-11-25,BSc,1,20,Hindi
Reel Script Writing,Top Talent Bridge,Work From Home,Immediately,6,5000,No,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",28-10-25,PhD,0.2,13,Marathi
Video Content Creation,Kripesh Adwani,Bhopal,Immediately,6,5000,No,Hybrid,Urban,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy, Video Editing, Videography",06-10-25,PhD,1.1,13,Hindi
Customer Service,UXINDIA,Work From Home,Immediately,6,8000,No,Hybrid,Rural,Operations & Support,"BPO, Customer Support, Communication, Call Handling",29-09-25,MBA,0.5,18,Marathi
Content Writing,Everyday Job Alert,Work From Home,Immediately,6,1000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",19-10-25,MSc,0.8,10,Bengali
Telecalling,Docsy MedTech Private Limited,Work From Home,Immediately,6,2000,Yes,Hybrid,Urban,Outreach & Client Relations,"Communication, MS Excel, Research",20-09-25,MBA,1.1,2,Malayalam
Python Development,Pragament Tech Solutions Private Limited,Hyderabad,Immediately,6,10000,No,Hybrid,Rural,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning",15-11-25,BTech,0.5,19,Telugu
Frontend & WordPress Development,Clever Growth Private Limited,Work From Home,Immediately,6,8000,No,Hybrid,Urban,Web Development,"HTML, CSS, JavaScript, React, PR Strategy, Media Relations",17-11-25,BCA,0.8,15,Gujarati
Social Media Marketing,AnAr Solutions Private Limited,Work From Home,Immediately,6,10000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",21-09-25,MA,1.1,4,Gujarati
Digital Marketing,MitraSena,Nagpur,Immediately,6,3000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",20-09-25,BBA,0.5,19,Marathi
Motion Graphics,Basavaraj Biradar,Bangalore,Immediately,6,7000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",18-09-25,MBA,1,28,Kannada
Electrical Engineering,Isourse,Delhi,Immediately,6,20000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",03-11-25,BBA,0.3,12,Hindi
Admissions Counselling,MANPREET  KAUR,Work From Home,Immediately,6,8000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",07-12-25,BCom,0.2,27,Kannada
Teaching- Mathematics (Class 9),Maraekat Infotech Limited,Mumbai,Immediately,6,5000,Yes,Onsite,Rural,Data Scientist,"Teaching, Lesson Planning, Communication, Mentoring",14-09-25,MCom,1,12,Marathi
Digital Marketing,CloudThat,Bangalore,Immediately,6,7000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",04-10-25,MBA,0.8,23,Kannada
Backend Development,ZasmLabs (OPC) Private Limited,Pune,Immediately,6,15000,No,Hybrid,Urban,Data Science,"Node.js, APIs, Databases, Server-side Development",01-11-25,BTech,1.1,21,Marathi
Digital Marketing,Prosync Infotech Private Limited,Delhi,Immediately,6,9000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",12-11-25,BA,0.5,1,Hindi
WordPress Development,Blue Planet Info Solutions Private Limited,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Web Development,"PR Strategy, Media Relations, Communication, Writing",30-10-25,MTech,0.2,28,Marathi
Digital Marketing,FLEECA INDIA PRIVATE LIMITED,Jaipur,Immediately,6,3000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",04-11-25,BBA,1.1,15,Hindi
WordPress Development,The Devisors Technologies,Work From Home,Immediately,6,1000,No,Remote,Urban,Web Development,"PR Strategy, Media Relations, Communication, Writing",25-09-25,MTech,0,14,Bengali
Content Creation,Hello Study Global,Work From Home,Immediately,6,2000,No,Remote,Urban,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy",04-12-25,MTech,1.1,12,Bengali
